Time,Systemic1.abdominal_aorta_C114_module.v,Systemic1.abdominal_aorta_C114_module.u
7.17,0.00010123856,13395.323
7.18,0.0001380599,14302.694
7.19,0.0001768668,15221.55
7.2,0.00021285504,16072.959
7.21,0.00024231162,16809.623
7.22,0.0002630001,17411.81
7.23,0.0002741876,17882.676
7.24,0.0002764028,18239.07
7.25,0.00027097538,18500.186
7.26,0.0002595572,18680.252
7.27,0.00024377544,18786.744
7.28,0.00022505865,18822.525
7.29,0.00020459744,18789.436
7.3,0.00018337426,18691.354
7.31,0.00016220812,18535.836
7.32,0.00014178662,18334.242
7.33,0.00012267979,18100.773
7.34,0.00010534121,17850.955
7.35,9.010392e-05,17600.002
7.36,7.7176985e-05,17361.404
7.37,6.6645705e-05,17145.893
7.38,5.8477188e-05,16960.86
7.39,5.2532097e-05,16810.25
7.4,4.8582653e-05,16694.818
7.41,4.6335794e-05,16612.646
7.42,4.5459645e-05,16559.82
7.43,4.5610574e-05,16531.117
7.44,4.645813e-05,16520.666
7.45,4.7705526e-05,16522.467
7.46,4.9104223e-05,16530.81
7.47,5.046213e-05,16540.564
7.48,5.1645788e-05,16547.354
7.49,5.2577423e-05,16547.65
7.5,5.3228287e-05,16538.822
7.51,5.360953e-05,16519.111
7.52,5.3761938e-05,16487.588
7.53,5.374558e-05,16444.08
7.54,5.363011e-05,16389.064
7.55,5.3486292e-05,16323.565
7.56,5.3379146e-05,16249.011
7.57,5.3362695e-05,16167.103
7.58,5.3476455e-05,16079.68
7.59,5.3743526e-05,15988.589
7.6,5.4170156e-05,15895.572
7.61,5.4746553e-05,15802.178
7.62,5.544878e-05,15709.69
7.63,5.624138e-05,15619.089
7.64,5.7080564e-05,15531.035
7.65,5.7917685e-05,15445.876
7.66,5.8702724e-05,15363.673
7.67,5.9387585e-05,15284.242
7.68,5.9929014e-05,15207.207
7.69,6.0290982e-05,15132.053
7.7,6.044644e-05,15058.18
7.71,6.0378414e-05,14984.964
7.72,6.0080398e-05,14911.797
7.73,5.955614e-05,14838.13
7.74,5.8818856e-05,14763.502
7.75,5.7889985e-05,14687.56
7.76,5.679762e-05,14610.07
7.77,5.5574725e-05,14530.922
7.78,5.425724e-05,14450.118
7.79,5.288223e-05,14367.767
7.8,5.1486164e-05,14284.06
7.81,5.0103336e-05,14199.258
7.82,4.876462e-05,14113.665
7.83,4.749648e-05,14027.609
7.84,4.6320292e-05,13941.419
7.85,4.525198e-05,13855.407
7.86,4.430197e-05,13769.856
7.87,4.347537e-05,13685.005
7.88,4.2772393e-05,13601.039
7.89,4.2188934e-05,13518.094
7.9,4.1717292e-05,13436.246
